vibe,timezone,coverImageUrl,arrondissement,geoLat,iconKey,domainDominantKey,type,geoLng,domainRanking,province,sotsRecent30Score,difficultyTier,totalVotes,domainKey,systemId,active,codePostal,sotsGlobalScore,styleTags,radiusKm,name,adresse,totalEngagements,pays,id,created_date,updated_date,created_by_id,created_by,is_sample
"","America/Toronto","https://res.cloudinary.com/dnp8eionl/image/upload/v1774917070/microrave/avatars/gsxx7a0lgkjytewzyxke.jpg","Ville-Marie","45.51604722839407","🍻","","Bar","-73.55819428832318","[]","QC","0","1","0","","CKP-MPORP9KJ-68HSW3","true","H2L 2E3","0","[]","0.1","LE STEREO NIGHT CLUB","858 rue Sainte-Catherine E","0","CA","6a178f65858c8153b9090a61","2026-05-28T00:42:13.520000","2026-05-28T00:42:13.520000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","America/Toronto","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/491442479_17910490410109766_6719419939190644166_n_gw4ewc.jpg","Ville-Marie","45.51690368889309","👠","","Cabaret","-73.55743516605705","[]","QC","0","1","0","","CKP-MPORP9KJ-L01155","true","H2L 2E5","0","[]","0.1","Bernard","936 Rue Sainte-Catherine E","0","CA","6a178f65c70ec16ea1eddf32","2026-05-28T00:42:13.195000","2026-05-28T00:42:13.195000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","America/Toronto","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/30077403_417217265387139_1804913130870931456_n_jztslm.jpg","Le Plateau-Mont-Royal","45.51421222966552","👠","","Cabaret","-73.57217120412236","[]","QC","0","1","0","","CKP-MPORP9KJ-1XQCFB","true","H2X 1S3","0","[]","0.1","Vol de nuit","14 rue Prince-Arthur E","0","CA","6a178f647ed3a3ef7a39eb1e","2026-05-28T00:42:12.886000","2026-05-28T00:42:12.886000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","America/Toronto","https://res.cloudinary.com/dnp8eionl/image/upload/v1774916909/575293992_18538224961039613_7019734105126470963_n_pacnk9.jpg","Ville-Marie","45.46580000415213","","","Bar","-73.56681631268911","[]","QC","0","1","0","","CKP-MPORP9KJ-P86302","true","H4G 1V1","0","[]","0.1","La Betise","3807 Rue Wellington","0","CA","6a178f64998be65bd1b20c7c","2026-05-28T00:42:12.586000","2026-05-28T00:42:12.586000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","America/Toronto","https://res.cloudinary.com/dnp8eionl/image/upload/v1774918097/microrave/avatars/qaoxbwujk5ynnvpgpi3j.jpg","Rosemont–La Petite-Patrie","45.53970555820031","🍸","","Bistro","-73.59951834039992","[]","QC","0","1","0","","CKP-MPORP9KJ-RPI7GV","true","H2S 1P9","0","[]","0.1","VINVINVIN","1290 rue Beaubien E","0","CA","6a178f640cf3890da008ba85","2026-05-28T00:42:12.268000","2026-05-28T00:42:12.268000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","America/Toronto","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/microrave/avatars/e5yecpsc7ly0tzxl2rrm.jpg","Rosemont–La Petite-Patrie","45.53111515793257","🍻","","Bar","-73.61095284118728","[]","QC","0","1","0","","CKP-MPORP9KJ-XUANEB","true","H2S 3C6","0","[]","0.1","TAVERNE COBRA","6584 boulevard Saint-Laurent","0","CA","6a178f6357e6675851c991dd","2026-05-28T00:42:11.963000","2026-05-28T00:42:11.963000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","America/Toronto","https://res.cloudinary.com/dnp8eionl/image/upload/v1774917246/microrave/avatars/m6tjm7dacqusxnogk0vm.jpg","Ville-Marie","45.52545638005083","👠","","Cabaret","-73.55946308326513","[]","QC","0","1","0","","CKP-MPORP9KJ-UTFLH9","true","H2L 1S7","0","[]","0.1","Lion d'Or","1676 Rue Ontario E","0","CA","6a178f63b27c572b273dc286","2026-05-28T00:42:11.660000","2026-05-28T00:42:11.660000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","America/Toronto","https://res.cloudinary.com/dnp8eionl/image/upload/v1774959959/microrave/avatars/e0oy6ms5umzp1e32xsaj.jpg","Villeray–Saint-Michel–Parc-Extension","45.536526137402454","👩‍💼","","Gérance d'artistes","-73.61910295166587","[]","QC","0","1","0","","CKP-MPORP9KJ-SVEA45","true","H2R 1P1","0","[]","0.1","Prémisse","93 rue De Castelnau E","0","CA","6a178f63433aaacf3ac406b5","2026-05-28T00:42:11.268000","2026-05-28T00:42:11.268000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","America/Toronto","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/438639429_1895276190921899_525122880584801213_n_hdwq77.jpg","Ville-Marie","45.51029950061417","🍻","","Bar","-73.56068329511155","[]","QC","0","1","0","","CKP-MPORP9KJ-W5K52J","true","H2X 2S6","0","[]","0.1","Société des arts technologiques [SAT]","1201 Boul. Saint-Laurent","0","CA","6a178f62dd56f8a663afdbcf","2026-05-28T00:42:10.929000","2026-05-28T00:42:10.929000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","America/Toronto","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/microrave/avatars/gyjnm2qyyc1nsdppoquw.jpg","Le Plateau-Mont-Royal","45.52911493401518","🍸","","Bistro","-73.57796133117644","[]","QC","0","1","0","","CKP-MPORP9KJ-U7CFRV","true","H2J 1Y1","0","[]","0.1","ROUGE GORGE","1234 avenue du Mont-Royal E","0","CA","6a178f62d512ae61059f57bc","2026-05-28T00:42:10.591000","2026-05-28T00:42:10.591000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","America/Toronto","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/491438301_1192681322327179_6481598417333188852_n_jpxrp2.jpg","Rosemont–La Petite-Patrie","45.529112798392674","🍻","","Bar","-73.61108448232362","[]","QC","0","1","0","","CKP-MPORP9KJ-3VQTQX","true","H2V 1C3","0","[]","0.1","Bobby's","129 rue Beaubien O","0","CA","6a178f62dee9cd7cd32b00dd","2026-05-28T00:42:10.280000","2026-05-28T00:42:10.280000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","America/Toronto","https://res.cloudinary.com/dnp8eionl/image/upload/v1774918753/microrave/avatars/m2r0raf8bozfvf8gdhoh.jpg","Rosemont–La Petite-Patrie","45.52999028797008","🍺","","Pub","-73.6157989155511","[]","QC","0","1","0","","CKP-MPORP9KJ-5CU06Q","true","H2V 4P9","0","[]","0.1","Wills","6729 rue Joseph-Tison","0","CA","6a178f6195bfefb5838a1806","2026-05-28T00:42:09.961000","2026-05-28T00:42:09.961000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","America/Toronto","https://res.cloudinary.com/dnp8eionl/image/upload/v1774991575/microrave/avatars/fhzdj68ck85giyi4hbvz.jpg","Saint-Léonard","45.576939562985096","🍻","","Bar","-73.59740185391635","[]","QC","0","1","0","","CKP-MPORP9KJ-82LME1","true","H1R 1X3","0","[]","0.1","Le bistro bar tl","4664 rue Jarry E","0","CA","6a178f61358599d851199fd1","2026-05-28T00:42:09.659000","2026-05-28T00:42:09.659000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
