eventId,assigned_price_cents,roleId,plageEndAt,confirmedByUserId,sessionId,userId,styleSystemIds,sceneId,plageStartAt,slotId,plageLabel,confirmedAt,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"69fca7dac209ef5fdbe66a06","66500","RL-000002","2027-03-01T13:00:00.000Z","","69fca7db3897a437cd3ce6ab","69f62cd5271164a83828fd92","[]","sc-1","2027-03-01T10:00:00.000Z","SL-69fca7db3897a437cd3ce6ab-0","Peak","2026-05-07T14:56:32.850Z","confirmed","69fca824fad7b9536258b28b","2026-05-07T14:56:36.299000","2026-05-07T14:56:36.299000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69f5faa236e8ec608ae3a167","66500","RL-000006","2026-06-06T12:00:00.000Z","","69f5faa411e66c76135217ce","69f62cd5271164a83828fd92","[]","sc-1","2026-06-06T10:36:00.000Z","SL-69f5faa411e66c76135217ce-0","Peak","2026-05-07T14:51:19.232Z","confirmed","69fca6eafc52f22c8f13648d","2026-05-07T14:51:22.519000","2026-05-07T14:51:22.519000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fca0713d590690d6058ba1","10000","RL-000008","2026-07-07T15:36:00.000Z","","69fca07373400e80ce966100","69f2706d181676bbd6e82a5e","[]","sc-1","2026-07-07T15:00:00.000Z","SL-69fca07373400e80ce966100-0","Warmup","2026-05-07T14:24:50.354Z","confirmed","69fca0b547871167ef2095c5","2026-05-07T14:24:53.691000","2026-05-07T14:24:53.691000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fbe957da428e030ab90f22","92000","RL-000005","2026-12-02T23:00:00.000Z","","69fbe9589a64b1eceaa01786","69f2706d181676bbd6e82a5e","[]","sc-1","2026-12-02T17:00:00.000Z","SL-69fbe9589a64b1eceaa01786-0","Peak","2026-05-07T01:33:05.786Z","confirmed","69fbebd5edae1fa0c347a83b","2026-05-07T01:33:09.162000","2026-05-07T01:33:09.162000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fbe524f616000802723a69","926000","RL-000001","2027-09-11T18:00:00.000Z","","69fbe52531ef0b45bf50bc6e","69f2739b8a9489588db01d2c","[]","sc-1","2027-09-11T16:00:00.000Z","SL-69fbe52531ef0b45bf50bc6e-0","Peak","2026-05-07T01:06:48.394Z","confirmed","69fbe5ab3a82e11e1d56e2cd","2026-05-07T01:06:51.698000","2026-05-07T01:06:51.698000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fbdbb490d487eed858f63b","926000","RL-000001","2026-07-09T19:00:00.000Z","","69fbdbb62a999217b81b51ea","69f2739b8a9489588db01d2c","[]","sc-1","2026-07-09T15:30:00.000Z","SL-69fbdbb62a999217b81b51ea-0","Peak","2026-05-07T00:31:11.743Z","confirmed","69fbdd527dcca35fa5438b0c","2026-05-07T00:31:14.986000","2026-05-07T00:31:14.986000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fbda84410ec6e3f06b0210","50000","RL-000001","2026-09-05T18:00:00.000Z","","69fbda86bacae598cfec1368","69f2739b8a9489588db01d2c","[]","sc-1","2026-09-05T15:00:00.000Z","SL-69fbda86bacae598cfec1368-0","Peak","2026-05-07T00:20:49.060Z","confirmed","69fbdae3ce7cc2a415637c1f","2026-05-07T00:20:51.938000","2026-05-07T00:20:51.938000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fbd5358907e0adb56c8758","100000","RL-000001","2026-09-02T10:00:00.000Z","","69fbd536cd4df8c14c59c18e","69f2739b8a9489588db01d2c","[]","sc-1","2026-09-02T06:00:00.000Z","SL-69fbd536cd4df8c14c59c18e-0","Peak","2026-05-06T23:58:07.306Z","confirmed","69fbd592a87a27de93d30d21","2026-05-06T23:58:10.528000","2026-05-06T23:58:10.528000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fbd115f1cebe0fac03d432","100000","RL-000001","2026-06-03T18:00:00.000Z","","69fbd117892f6e0738e4da5c","69f2739b8a9489588db01d2c","[]","sc-1","2026-06-03T15:00:00.000Z","SL-69fbd117892f6e0738e4da5c-0","Peak","2026-05-06T23:40:27.795Z","confirmed","69fbd16f788230129548bb37","2026-05-06T23:40:31.379000","2026-05-06T23:40:31.379000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fbca11058919c34084beb1","100000","RL-000001","2026-08-03T07:00:00.000Z","","69fbca120a018f0044d17bde","69f2739b8a9489588db01d2c","[]","sc-1","2026-08-03T05:00:00.000Z","SL-69fbca120a018f0044d17bde-0","Peak","2026-05-06T23:15:16.002Z","confirmed","69fbcb87449c0ee15ff68135","2026-05-06T23:15:19.159000","2026-05-06T23:15:19.159000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fbbce11d1b1bd6670a7ee3","70000","RL-000001","2026-05-26T00:54:00.000Z","","69fbbce3b1a0803aa08cffd4","69f2739b8a9489588db01d2c","[]","sc-1","2026-05-26T00:00:00.000Z","SL-69fbbce3b1a0803aa08cffd4-0","Warmup","2026-05-06T22:16:18.802Z","confirmed","69fbbdb705ac81a61736f93f","2026-05-06T22:16:23.665000","2026-05-06T22:16:35.283000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fba5bb30364d40c87ed8b2","100000","RL-000001","2027-02-02T10:00:00.000Z","","69fba5bdb3fe16025f4aea60","69f2706d181676bbd6e82a5e","[]","sc-1","2027-02-02T07:00:00.000Z","SL-69fba5bdb3fe16025f4aea60-0","Peak","2026-05-06T20:35:31.963Z","confirmed","69fba6170a4f6c7202b1a629","2026-05-06T20:35:35.482000","2026-05-06T20:35:35.482000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fb9d5a2679bf86f9a757c9","100000","RL-000001","2028-09-03T13:00:00.000Z","","69fb9d5bea4986fc1d59d273","69f2706d181676bbd6e82a5e","[]","sc-1","2028-09-03T09:00:00.000Z","SL-69fb9d5bea4986fc1d59d273-0","Peak","2026-05-06T20:01:57.935Z","confirmed","69fb9e3a3fe147a18c1ccb13","2026-05-06T20:02:02.092000","2026-05-06T20:02:02.092000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fb9bc0e203e66a26c73dcb","20000","RL-000001","2026-12-10T16:00:00.000Z","","69fb9bc15beeb1df6b276714","69f2706d181676bbd6e82a5e","[]","sc-1","2026-12-10T15:00:00.000Z","SL-69fb9bc15beeb1df6b276714-0","Peak","2026-05-06T19:52:55.657Z","confirmed","69fb9c1c5ea6efac1498c429","2026-05-06T19:53:00.712000","2026-05-06T19:53:00.712000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fb72f19a83df199bb7f9a1","100000","RL-000001","2028-04-04T12:00:00.000Z","","69fb72f3175b83736b3d7061","69f2706d181676bbd6e82a5e","[]","sc-1","2028-04-04T08:00:00.000Z","SL-69fb72f3175b83736b3d7061-0","Peak","2026-05-06T16:58:10.103Z","confirmed","69fb732558e53644f4cd4d47","2026-05-06T16:58:13.446000","2026-05-06T16:58:13.446000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fb71f37ee96e9982b47493","40000","RL-000001","2026-07-03T08:00:00.000Z","","69fb71f4f16af932af322d1d","69f2706d181676bbd6e82a5e","[]","sc-1","2026-07-03T07:27:36.000Z","SL-69fb71f4f16af932af322d1d-0","Closer","2026-05-06T16:54:09.152Z","confirmed","69fb723535b34e7e7854575a","2026-05-06T16:54:13.087000","2026-05-06T16:55:22.410000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
