level,totalDrops,xp,userId,domainKey,lastDropAt,updatedAt,id,created_date,updated_date,created_by_id,created_by,is_sample
"1","1","140","69f2706d181676bbd6e82a5e","photo","2026-05-07T13:22:05.395Z","2026-05-07T13:22:05.395Z","69fc91fd2fcac8edc066a329","2026-05-07T13:22:05.189000","2026-05-07T13:22:05.591000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"1","1","140","69f2739b8a9489588db01d2c","video","2026-05-06T23:45:54.970Z","2026-05-06T23:45:54.970Z","69fbd2b247863d192c17bc51","2026-05-06T23:45:54.732000","2026-05-06T23:45:55.243000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"1","1","280","69f2739b8a9489588db01d2c","photo","2026-05-06T16:00:13.346Z","2026-05-06T16:00:13.346Z","69fb658a9796b3e121f4f078","2026-05-06T16:00:10.883000","2026-05-06T16:00:13.624000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"1","2","280","69f2739b8a9489588db01d2c","music","2026-05-06T23:49:38.379Z","2026-05-06T23:49:38.379Z","69fb48826d855600e8dc0b12","2026-05-06T13:56:18.669000","2026-05-06T23:49:38.606000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"2","2","720","69f2706d181676bbd6e82a5e","humour","2026-05-07T13:35:32.290Z","2026-05-07T13:35:32.290Z","69fb4864938d602f392b2b15","2026-05-06T13:55:48.813000","2026-05-07T13:35:32.476000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"1","1","140","69f7701d31890c3d20e8c9d7","music","2026-05-03T17:28:42.040Z","2026-05-03T17:28:42.040Z","69f785c980ed894e0bbded96","2026-05-03T17:28:41.780000","2026-05-03T17:28:42.191000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"1","1","140","69f62cd5271164a83828fd92","photo","2026-05-03T01:51:11.952Z","2026-05-03T01:51:11.952Z","69f6aa0f4e63a5e9fa72b4f0","2026-05-03T01:51:11.717000","2026-05-03T01:51:12.172000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6","14","2860","69f62cd5271164a83828fd92","music","2026-05-07T13:35:21.333Z","2026-05-07T13:35:21.333Z","69f67b2fa26b3b7f1bd1a5fa","2026-05-02T22:31:11.440000","2026-05-07T13:35:21.530000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"1","2","280","69f62dd4479edabdf08b12ee","music","2026-05-06T03:37:11.007Z","2026-05-06T03:37:11.007Z","69f6785d062b66d2da5b55bd","2026-05-02T22:19:09.453000","2026-05-06T03:37:11.251000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"1","2","280","69f2706d181676bbd6e82a5e","video","2026-05-04T21:51:39.480Z","2026-05-04T21:51:39.480Z","69f636426ff5798f9db5eca7","2026-05-02T17:37:06.818000","2026-05-04T21:51:39.740000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"3","6","1040","69f2706d181676bbd6e82a5e","music","2026-05-06T23:45:50.235Z","2026-05-06T23:45:50.235Z","69f62f602abd23739e0d2ac7","2026-05-02T17:07:44.678000","2026-05-06T23:45:50.416000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"3","7","1040","69f218c618cc26dee7ae01ce","music","2026-05-07T13:35:23.471Z","2026-05-07T13:35:23.471Z","69f62f58fa34acfc6a1471b5","2026-05-02T17:07:36.913000","2026-05-07T13:35:23.720000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
