eventId,calculated_price_cents,targetSceneId,finalStatus,organizerUserId,sessionId,expiresAt,final_price_cents,isGratuit,createdAt,talentUserId,finalizedAt,targetPlageIds,slotId,current_offer_price_cents,rounds,status,updatedAt,id,created_date,updated_date,created_by_id,created_by,is_sample
"69fca7dac209ef5fdbe66a06","","sc-1","accepted","69f2706d181676bbd6e82a5e","69fca7db3897a437cd3ce6ab","2026-05-10T14:56:27.117Z","","false","2026-05-07T14:56:03.666Z","69f62cd5271164a83828fd92","2026-05-07T14:56:32.850Z","[""p-1""]","SL-69fca7db3897a437cd3ce6ab-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-05-07T14:56:03.666Z"",""price"":480,""proposedBy"":""organizer"",""respondedAt"":""2026-05-07T14:56:26.869Z"",""message"":"""",""expiresAt"":""2026-05-10T14:56:03.666Z"",""status"":""countered""},{""roundIndex"":1,""isGratuit"":false,""createdAt"":""2026-05-07T14:56:26.869Z"",""price"":665,""proposedBy"":""talent"",""respondedAt"":""2026-05-07T14:56:32.850Z"",""message"":"""",""expiresAt"":""2026-05-10T14:56:27.117Z"",""status"":""accepted""}]","accepted","2026-05-07T14:56:32.850Z","69fca8072eaed0e40f10e3e9","2026-05-07T14:56:07.697000","2026-05-07T14:56:34.162000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69f5faa236e8ec608ae3a167","","sc-1","accepted","69f2706d181676bbd6e82a5e","69f5faa411e66c76135217ce","2026-05-10T14:51:02.772Z","","false","2026-05-07T14:49:39.733Z","69f62cd5271164a83828fd92","2026-05-07T14:51:19.232Z","[""p-2""]","SL-69f5faa411e66c76135217ce-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-05-07T14:49:39.733Z"",""price"":100,""proposedBy"":""organizer"",""respondedAt"":""2026-05-07T14:50:38.888Z"",""message"":"""",""expiresAt"":""2026-05-10T14:49:39.733Z"",""status"":""countered""},{""roundIndex"":1,""isGratuit"":false,""createdAt"":""2026-05-07T14:50:38.888Z"",""price"":500,""proposedBy"":""talent"",""respondedAt"":""2026-05-07T14:51:02.536Z"",""message"":"""",""expiresAt"":""2026-05-10T14:50:39.505Z"",""status"":""countered""},{""roundIndex"":2,""isGratuit"":false,""createdAt"":""2026-05-07T14:51:02.536Z"",""price"":665,""proposedBy"":""organizer"",""respondedAt"":""2026-05-07T14:51:19.232Z"",""message"":"""",""expiresAt"":""2026-05-10T14:51:02.772Z"",""status"":""accepted""}]","accepted","2026-05-07T14:51:19.232Z","69fca68723583106cd1a9692","2026-05-07T14:49:43.059000","2026-05-07T14:51:20.622000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69f5faa236e8ec608ae3a167","","sc-1","","69f2706d181676bbd6e82a5e","69f5faa411e66c76135217ce","2026-05-10T14:49:04.293Z","","false","2026-05-07T14:49:04.293Z","69f218c618cc26dee7ae01ce","","[""p-2""]","SL-69f5faa411e66c76135217ce-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-05-07T14:49:04.293Z"",""price"":100,""proposedBy"":""organizer"",""respondedAt"":null,""message"":"""",""expiresAt"":""2026-05-10T14:49:04.293Z"",""status"":""pending""}]","pending_talent","2026-05-07T14:49:04.293Z","69fca663f0e4fca3bfd3efc9","2026-05-07T14:49:07.416000","2026-05-07T14:49:07.416000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fca0713d590690d6058ba1","","sc-1","accepted","69f62cd5271164a83828fd92","69fca07373400e80ce966100","2026-05-10T14:24:40.963Z","","false","2026-05-07T14:24:25.232Z","69f2706d181676bbd6e82a5e","2026-05-07T14:24:50.354Z","[""p-1""]","SL-69fca07373400e80ce966100-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-05-07T14:24:25.232Z"",""price"":95,""proposedBy"":""organizer"",""respondedAt"":""2026-05-07T14:24:40.779Z"",""message"":"""",""expiresAt"":""2026-05-10T14:24:25.233Z"",""status"":""countered""},{""roundIndex"":1,""isGratuit"":false,""createdAt"":""2026-05-07T14:24:40.779Z"",""price"":100,""proposedBy"":""talent"",""respondedAt"":""2026-05-07T14:24:50.354Z"",""message"":"""",""expiresAt"":""2026-05-10T14:24:40.963Z"",""status"":""accepted""}]","accepted","2026-05-07T14:24:50.354Z","69fca09cd2b42892e087ce0e","2026-05-07T14:24:28.973000","2026-05-07T14:24:51.674000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fbe957da428e030ab90f22","","sc-1","accepted","69f62cd5271164a83828fd92","69fbe9589a64b1eceaa01786","2026-05-10T01:32:21.321Z","","false","2026-05-07T01:32:21.320Z","69f2706d181676bbd6e82a5e","2026-05-07T01:33:05.786Z","[""p-1""]","SL-69fbe9589a64b1eceaa01786-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-05-07T01:32:21.320Z"",""price"":920,""proposedBy"":""organizer"",""respondedAt"":""2026-05-07T01:33:05.786Z"",""message"":"""",""expiresAt"":""2026-05-10T01:32:21.321Z"",""status"":""accepted""}]","accepted","2026-05-07T01:33:05.786Z","69fbebaa858b73d9da247d05","2026-05-07T01:32:26.339000","2026-05-07T01:33:07.211000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fbe524f616000802723a69","","sc-1","accepted","69f62cd5271164a83828fd92","69fbe52531ef0b45bf50bc6e","2026-05-10T01:06:35.005Z","","false","2026-05-07T01:05:28.472Z","69f2739b8a9489588db01d2c","2026-05-07T01:06:48.394Z","[""p-1""]","SL-69fbe52531ef0b45bf50bc6e-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-05-07T01:05:28.472Z"",""price"":700,""proposedBy"":""organizer"",""respondedAt"":""2026-05-07T01:05:56.531Z"",""message"":"""",""expiresAt"":""2026-05-10T01:05:28.472Z"",""status"":""countered""},{""roundIndex"":1,""isGratuit"":false,""createdAt"":""2026-05-07T01:05:56.531Z"",""price"":1400,""proposedBy"":""talent"",""respondedAt"":""2026-05-07T01:06:02.348Z"",""message"":"""",""expiresAt"":""2026-05-10T01:05:56.817Z"",""status"":""countered""},{""roundIndex"":2,""isGratuit"":false,""createdAt"":""2026-05-07T01:06:02.348Z"",""price"":2800,""proposedBy"":""organizer"",""respondedAt"":""2026-05-07T01:06:20.974Z"",""message"":"""",""expiresAt"":""2026-05-10T01:06:02.612Z"",""status"":""countered""},{""roundIndex"":3,""isGratuit"":false,""createdAt"":""2026-05-07T01:06:20.974Z"",""price"":5600,""proposedBy"":""talent"",""respondedAt"":""2026-05-07T01:06:34.681Z"",""message"":"""",""expiresAt"":""2026-05-10T01:06:21.222Z"",""status"":""countered""},{""roundIndex"":4,""isGratuit"":false,""createdAt"":""2026-05-07T01:06:34.681Z"",""price"":9260,""proposedBy"":""organizer"",""respondedAt"":""2026-05-07T01:06:48.394Z"",""message"":"""",""expiresAt"":""2026-05-10T01:06:35.005Z"",""status"":""accepted""}]","accepted","2026-05-07T01:06:48.394Z","69fbe55b9133b5067bca2335","2026-05-07T01:05:31.977000","2026-05-07T01:06:49.849000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fbdbb490d487eed858f63b","","sc-1","accepted","69f62cd5271164a83828fd92","69fbdbb62a999217b81b51ea","2026-05-10T00:30:33.047Z","","false","2026-05-07T00:25:57.291Z","69f2739b8a9489588db01d2c","2026-05-07T00:31:11.743Z","[""p-2""]","SL-69fbdbb62a999217b81b51ea-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-05-07T00:25:57.291Z"",""price"":1000,""proposedBy"":""organizer"",""respondedAt"":""2026-05-07T00:28:52.309Z"",""message"":"""",""expiresAt"":""2026-05-10T00:25:57.292Z"",""status"":""countered""},{""roundIndex"":1,""isGratuit"":false,""createdAt"":""2026-05-07T00:28:52.309Z"",""price"":925,""proposedBy"":""talent"",""respondedAt"":""2026-05-07T00:29:32.057Z"",""message"":"""",""expiresAt"":""2026-05-10T00:28:52.537Z"",""status"":""countered""},{""roundIndex"":2,""isGratuit"":false,""createdAt"":""2026-05-07T00:29:32.057Z"",""price"":1850,""proposedBy"":""organizer"",""respondedAt"":""2026-05-07T00:29:44.553Z"",""message"":"""",""expiresAt"":""2026-05-10T00:29:32.270Z"",""status"":""countered""},{""roundIndex"":3,""isGratuit"":false,""createdAt"":""2026-05-07T00:29:44.553Z"",""price"":3700,""proposedBy"":""talent"",""respondedAt"":""2026-05-07T00:30:01.368Z"",""message"":"""",""expiresAt"":""2026-05-10T00:29:44.760Z"",""status"":""countered""},{""roundIndex"":4,""isGratuit"":false,""createdAt"":""2026-05-07T00:30:01.368Z"",""price"":7400,""proposedBy"":""organizer"",""respondedAt"":""2026-05-07T00:30:32.831Z"",""message"":"""",""expiresAt"":""2026-05-10T00:30:01.611Z"",""status"":""countered""},{""roundIndex"":5,""isGratuit"":false,""createdAt"":""2026-05-07T00:30:32.831Z"",""price"":9260,""proposedBy"":""talent"",""respondedAt"":""2026-05-07T00:31:11.743Z"",""message"":"""",""expiresAt"":""2026-05-10T00:30:33.047Z"",""status"":""accepted""}]","accepted","2026-05-07T00:31:11.743Z","69fbdc180cf5cbfb0b5f4c0c","2026-05-07T00:26:00.213000","2026-05-07T00:31:13.060000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fbda84410ec6e3f06b0210","","sc-1","accepted","69f62cd5271164a83828fd92","69fbda86bacae598cfec1368","2026-05-10T00:20:33.137Z","","false","2026-05-07T00:20:33.137Z","69f2739b8a9489588db01d2c","2026-05-07T00:20:49.060Z","[""p-1""]","SL-69fbda86bacae598cfec1368-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-05-07T00:20:33.137Z"",""price"":500,""proposedBy"":""organizer"",""respondedAt"":""2026-05-07T00:20:49.060Z"",""message"":"""",""expiresAt"":""2026-05-10T00:20:33.137Z"",""status"":""accepted""}]","accepted","2026-05-07T00:20:49.060Z","69fbdad4313121c04cb574a5","2026-05-07T00:20:36.358000","2026-05-07T00:20:50.377000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fbd5358907e0adb56c8758","","sc-1","accepted","69f62cd5271164a83828fd92","69fbd536cd4df8c14c59c18e","2026-05-09T23:57:31.249Z","","false","2026-05-06T23:57:31.249Z","69f2739b8a9489588db01d2c","2026-05-06T23:58:07.306Z","[""p-1""]","SL-69fbd536cd4df8c14c59c18e-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-05-06T23:57:31.249Z"",""price"":1000,""proposedBy"":""organizer"",""respondedAt"":""2026-05-06T23:58:07.306Z"",""message"":"""",""expiresAt"":""2026-05-09T23:57:31.249Z"",""status"":""accepted""}]","accepted","2026-05-06T23:58:07.306Z","69fbd56e7db0037154bcaff9","2026-05-06T23:57:34.172000","2026-05-06T23:58:08.653000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"69fbd115f1cebe0fac03d432","","sc-1","accepted","69f62cd5271164a83828fd92","69fbd117892f6e0738e4da5c","2026-05-09T23:39:59.225Z","","false","2026-05-06T23:39:59.225Z","69f2739b8a9489588db01d2c","2026-05-06T23:40:27.795Z","[""p-1""]","SL-69fbd117892f6e0738e4da5c-0","","[{""roundIndex"":0,""isGratuit"":false,""createdAt"":""2026-05-06T23:39:59.225Z"",""price"":1000,""proposedBy"":""organizer"",""respondedAt"":""2026-05-06T23:40:27.795Z"",""message"":"""",""expiresAt"":""2026-05-09T23:39:59.225Z"",""status"":""accepted""}]","accepted","2026-05-06T23:40:27.795Z","69fbd152f0999f515ab5c800","2026-05-06T23:40:02.432000","2026-05-06T23:40:29.020000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
