uniqueTalentsCount,sotsCount,checkpointSystemId,roleSystemId,playsCount,sotsAvg,lastPlayedAt,domainKey,sotsSum,updatedAt,id,created_date,updated_date,created_by_id,created_by,is_sample
"0","0","NC-0000000161","RL-ORGANIZER","0","0","","humour","0","2026-05-07T13:35:29.297Z","69fc9522c8a6a16f40385fd8","2026-05-07T13:35:30.533000","2026-05-07T13:35:30.533000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000161","RL-000007","0","0","","humour","0","2026-05-07T13:35:29.297Z","69fc9522ace3850606f2757a","2026-05-07T13:35:30.168000","2026-05-07T13:35:30.168000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000058","RL-ORGANIZER","0","0","","photo","0","2026-05-07T13:22:12.320Z","69fc9205fdc5fa22d25b0744","2026-05-07T13:22:13.769000","2026-05-07T13:22:13.769000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000058","RL-000002","0","0","","photo","0","2026-05-07T13:22:12.320Z","69fc92056c61b8663ab5a0a1","2026-05-07T13:22:13.226000","2026-05-07T13:22:13.226000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000101","RL-ORGANIZER","1","0","2026-05-06T20:39:06.540Z","music","0","2026-05-06T20:39:06.540Z","69fba6eb0c06c5153d479f59","2026-05-06T20:39:07.795000","2026-05-06T20:39:07.795000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000101","RL-000001","1","0","2026-05-06T20:39:03.974Z","music","0","2026-05-06T20:39:03.974Z","69fba6e9ac7dc8a906598f76","2026-05-06T20:39:05.102000","2026-05-06T20:39:05.102000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000097","RL-ORGANIZER","0","0","","music","0","2026-05-06T19:57:33.571Z","69fb9d2e84520cd113082392","2026-05-06T19:57:34.988000","2026-05-06T19:57:34.988000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000097","RL-000001","0","0","","music","0","2026-05-06T19:57:33.571Z","69fb9d2eacd3f6e67686e6ee","2026-05-06T19:57:34.492000","2026-05-06T19:57:34.492000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000165","RL-000005","1","0","2026-05-06T13:55:26.796Z","music","0","2026-05-06T13:55:26.796Z","69fb484f6228a3e5eaeed41e","2026-05-06T13:55:27.771000","2026-05-06T13:55:27.771000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"0","0","NC-0000000165","RL-ORGANIZER","0","0","","video","0","2026-05-06T23:45:51.568Z","69f914e9748850e0050df347","2026-05-04T21:51:37.403000","2026-05-06T23:45:52.842000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
